----- INFORME DE DATOS GPS -----
Total de registros: 60
Registros válidos: 60
Registros del autobús: 60
Velocidad media: 25,47 km/h

Recorrido (timestamp, latitud, longitud):
2025-03-25T08:00:00 - (37.388865335447406, -5.982354859370302)
2025-03-25T08:01:00 - (37.38863020803202, -5.981867801823981)
2025-03-25T08:02:00 - (37.38898284640004, -5.98192933847688)
2025-03-25T08:03:00 - (37.38888523182171, -5.982377446682884)
2025-03-25T08:04:00 - (37.388592588926464, -5.982513795282368)
2025-03-25T08:05:00 - (37.38820678449623, -5.982323690975957)
2025-03-25T08:06:00 - (37.38816424167497, -5.982505757680487)
2025-03-25T08:07:00 - (37.388411050950936, -5.982945051745633)
2025-03-25T08:08:00 - (37.388592709168805, -5.983316908580028)
2025-03-25T08:09:00 - (37.388129972130145, -5.983271962312138)
2025-03-25T08:10:00 - (37.38857749461082, -5.983350510163367)
2025-03-25T08:11:00 - (37.388517821613675, -5.983557325892525)
2025-03-25T08:12:00 - (37.38845629825398, -5.9837610154436)
2025-03-25T08:13:00 - (37.388753984658074, -5.98377676108339)
2025-03-25T08:14:00 - (37.38875192252463, -5.983606135463869)
2025-03-25T08:15:00 - (37.38872520759168, -5.983352378525813)
2025-03-25T08:16:00 - (37.38899674112921, -5.983709444857018)
2025-03-25T08:17:00 - (37.38883260013691, -5.983483802494496)
2025-03-25T08:18:00 - (37.388577187897646, -5.983650497070602)
2025-03-25T08:19:00 - (37.3888351459907, -5.983821874051779)
2025-03-25T08:20:00 - (37.38907834630378, -5.983529740788717)
2025-03-25T08:21:00 - (37.388957595967796, -5.983761549692826)
2025-03-25T08:22:00 - (37.38903943728472, -5.983294747258892)
2025-03-25T08:23:00 - (37.38897071694647, -5.983168679783286)
2025-03-25T08:24:00 - (37.38920449525938, -5.983058198677811)
2025-03-25T08:25:00 - (37.38899816786437, -5.982969838088441)
2025-03-25T08:26:00 - (37.38920323704167, -5.98268218516321)
2025-03-25T08:27:00 - (37.38962563520985, -5.983107136011296)
2025-03-25T08:28:00 - (37.38941303055989, -5.983523906757013)
2025-03-25T08:29:00 - (37.389218537171814, -5.9831069339009355)
2025-03-25T08:30:00 - (37.389144189853994, -5.983373280026377)
2025-03-25T08:31:00 - (37.38867299104682, -5.983013735739228)
2025-03-25T08:32:00 - (37.388658802101915, -5.982944969021409)
2025-03-25T08:33:00 - (37.38907211730201, -5.983175980901841)
2025-03-25T08:34:00 - (37.38903894630798, -5.982722370023849)
2025-03-25T08:35:00 - (37.38951905070265, -5.982244326638106)
2025-03-25T08:36:00 - (37.38995301448332, -5.982401309389217)
2025-03-25T08:37:00 - (37.38979255909127, -5.9826197236094245)
2025-03-25T08:38:00 - (37.389515688862275, -5.982846005559234)
2025-03-25T08:39:00 - (37.38906339026594, -5.983322741473448)
2025-03-25T08:40:00 - (37.38895076935251, -5.983616899531702)
2025-03-25T08:41:00 - (37.388699723563384, -5.983223298866698)
2025-03-25T08:42:00 - (37.38853405826691, -5.983376582403319)
2025-03-25T08:43:00 - (37.38871538195163, -5.983700026450291)
2025-03-25T08:44:00 - (37.388306982082135, -5.983574413569628)
2025-03-25T08:45:00 - (37.38848714187896, -5.983103759253076)
2025-03-25T08:46:00 - (37.38837391812549, -5.982912805749491)
2025-03-25T08:47:00 - (37.38829407841657, -5.983008167826825)
2025-03-25T08:48:00 - (37.38783166741084, -5.982562193051281)
2025-03-25T08:49:00 - (37.38753181404613, -5.982916833270691)
2025-03-25T08:50:00 - (37.387642308602594, -5.982745640239157)
2025-03-25T08:51:00 - (37.388078847910435, -5.982312417676745)
2025-03-25T08:52:00 - (37.3881434345662, -5.982242004010219)
2025-03-25T08:53:00 - (37.38834227115759, -5.98234123636272)
2025-03-25T08:54:00 - (37.38843242821336, -5.982179734651744)
2025-03-25T08:55:00 - (37.38845670264392, -5.981926988712083)
2025-03-25T08:56:00 - (37.38801991171628, -5.9821513854721635)
2025-03-25T08:57:00 - (37.38851168070412, -5.982373625077638)
2025-03-25T08:58:00 - (37.38876250083129, -5.982710860537585)
2025-03-25T08:59:00 - (37.38840413178031, -5.9830250253236015)
